"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode","Comments"
13990.64070245,13996.482401256,107.2,589.6,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
13998.74370402,14003.831635239,101.7,556.4,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14007.223589384,14011.821571671,90.6,554.5,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14016.909502889,14021.733615452,85,550.8,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14024.221048492,14029.911993781,86.9,500.9,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14033.077817651,14040.050167839,109.1,449.2,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14042.273782224,14048.266234548,99.8,491.7,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14050.746219912,14056.776360616,99.8,497.2,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14060.469821796,14066.537650879,94.3,537.9,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14374.708531533,14380.286411683,94.3,621.1,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14382.698467965,14387.522580528,77.6,495.4,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14390.424585741,14395.022568028,107.2,513.9,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14394.193423681,14403.389388254,79.5,519.4,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14405.989886432,14411.982338756,73.9,471.3,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14414.281329899,14420.311470603,96.1,469.5,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14422.459708229,14427.811458103,90.6,537.9,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14430.74370402,14438.017561244,96.1,488,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14439.298966143,14445.781367399,88.7,456.6,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14447.929605025,14455.391904146,94.3,515.7,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14456.145671734,14462.929580025,86.9,428.8,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14464.324050063,14471.522530528,90.6,504.6,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14472.61549353,14480.906936997,72.1,558.2,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14481.464815013,14489.454751445,64.7,539.7,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
14490.321584171,14497.89694843,62.8,567.5,"UK-XPKO01-141214-080838.wav","UK-XPKO01-141214-080838.wav","y","i_neg","HB.s.p.12",""
